name,gppd_idnr,country,year,co2_emissions_tonne,capacity_mw,primary_fuel,generation_gwh,commissioning_year,latitude,longitude,unit_count
Heyden,WRI1005765,Germany,2015,2758730.0,875.0,Fossil Hard coal,3090.6100000000006,1987.0,52.383,8.996,1
Heyden,WRI1005765,Germany,2016,3006990.0,875.0,Fossil Hard coal,3368.737000000001,1987.0,52.383,8.996,1
Heyden,WRI1005765,Germany,2017,1983460.0,875.0,Fossil Hard coal,2222.0800000000004,1987.0,52.383,8.996,1
Heyden,WRI1005765,Germany,2018,1708440.0,875.0,Fossil Hard coal,1913.9670000000006,1987.0,52.383,8.996,1
KW Herrenhausen (KWH),,Germany,2015,5445.83,100.0,Fossil Gas,6.213000000000002,,52.398999999999994,9.681000000000001,1
KW Herrenhausen (KWH),,Germany,2016,9149.130000000001,100.0,Fossil Gas,10.438000000000002,,52.398999999999994,9.681000000000001,1
KW Herrenhausen (KWH),,Germany,2017,1916.08,100.0,Fossil Gas,2.1860000000000004,,52.398999999999994,9.681000000000001,1
KW Herrenhausen (KWH),,Germany,2018,5386.2300000000005,100.0,Fossil Gas,6.145000000000001,,52.398999999999994,9.681000000000001,1
Huntorf,WRI1005831,Germany,2015,528.519,321.0,Fossil Gas,0.9700000000000002,,53.19,8.408999999999999,1
Huntorf,WRI1005831,Germany,2016,4366.0,321.0,Fossil Gas,8.013000000000002,,53.19,8.408999999999999,1
Huntorf,WRI1005831,Germany,2017,6445.75,321.0,Fossil Gas,11.830000000000004,,53.19,8.408999999999999,1
Huntorf,WRI1005831,Germany,2018,13932.7,321.0,Fossil Gas,25.571000000000005,,53.19,8.408999999999999,1
Ingolstadt,,Germany,2015,534851.0,772.0,Fossil Oil,420.3080000000001,1973.5,48.762,11.504000000000001,2
Ingolstadt,,Germany,2016,44864.0,772.0,Fossil Oil,35.25600000000001,1973.5,48.762,11.504000000000001,2
Ingolstadt,,Germany,2017,31080.08,772.0,Fossil Oil,24.424000000000007,1973.5,48.762,11.504000000000001,2
Ingolstadt,,Germany,2018,9374.67,772.0,Fossil Oil,7.367000000000002,1973.5,48.762,11.504000000000001,2
Irsching,WRI1005691,Germany,2015,216059.80000000002,1822.0,Fossil Gas,567.6110000000001,2001.4923161361141,48.766999999999996,11.582,3
Irsching,WRI1005691,Germany,2016,78066.88,1822.0,Fossil Gas,204.75700000000006,2001.4923161361141,48.766999999999996,11.582,3
